danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.793,0.465,5,-8.134,0,0.271,0.648,0.000132,0.0871,0.898,141.85,audio_features,1CbxG199T0fzfUV5EO7aPV,spotify:track:1CbxG199T0fzfUV5EO7aPV,https://api.spotify.com/v1/tracks/1CbxG199T0fzfUV5EO7aPV,https://api.spotify.com/v1/audio-analysis/1CbxG199T0fzfUV5EO7aPV,193740,4
0.863,0.508,3,-7.349,0,0.0569,0.287,1.88e-05,0.0873,0.531,119.949,audio_features,3eIzChv8AqByBiRwxDMFxN,spotify:track:3eIzChv8AqByBiRwxDMFxN,https://api.spotify.com/v1/tracks/3eIzChv8AqByBiRwxDMFxN,https://api.spotify.com/v1/audio-analysis/3eIzChv8AqByBiRwxDMFxN,180000,4
0.802,0.186,10,-13.562,0,0.0676,0.734,0.366,0.101,0.225,128.081,audio_features,2NDoxY8IPCpGSHuujgRkmH,spotify:track:2NDoxY8IPCpGSHuujgRkmH,https://api.spotify.com/v1/tracks/2NDoxY8IPCpGSHuujgRkmH,https://api.spotify.com/v1/audio-analysis/2NDoxY8IPCpGSHuujgRkmH,153700,4
0.629,0.623,5,-7.317,0,0.0469,0.416,1.19e-05,0.383,0.541,94.996,audio_features,6w0k9yloCrf7CzDZ1LqAeU,spotify:track:6w0k9yloCrf7CzDZ1LqAeU,https://api.spotify.com/v1/tracks/6w0k9yloCrf7CzDZ1LqAeU,https://api.spotify.com/v1/audio-analysis/6w0k9yloCrf7CzDZ1LqAeU,277362,4
0.861,0.125,0,-16.482,1,0.0708,0.457,0.421,0.101,0.4,78.036,audio_features,3KdqW7vrStW0VIp1Pfk0cq,spotify:track:3KdqW7vrStW0VIp1Pfk0cq,https://api.spotify.com/v1/tracks/3KdqW7vrStW0VIp1Pfk0cq,https://api.spotify.com/v1/audio-analysis/3KdqW7vrStW0VIp1Pfk0cq,222115,4
0.43,0.228,10,-10.453,0,0.182,0.862,0.000387,0.116,0.15,66.044,audio_features,2EIL4u1MdMKNFkk2T1pCNh,spotify:track:2EIL4u1MdMKNFkk2T1pCNh,https://api.spotify.com/v1/tracks/2EIL4u1MdMKNFkk2T1pCNh,https://api.spotify.com/v1/audio-analysis/2EIL4u1MdMKNFkk2T1pCNh,103004,4
0.551,0.503,7,-6.678,0,0.17,0.0475,0.0,0.116,0.305,80.266,audio_features,7pttGrC2YJYQ997ZryXGCG,spotify:track:7pttGrC2YJYQ997ZryXGCG,https://api.spotify.com/v1/tracks/7pttGrC2YJYQ997ZryXGCG,https://api.spotify.com/v1/audio-analysis/7pttGrC2YJYQ997ZryXGCG,228147,4
0.554,0.519,4,-6.114,0,0.282,0.051,0.000415,0.0668,0.473,80.994,audio_features,2VwO1y36OPhb2ITD1l5sTV,spotify:track:2VwO1y36OPhb2ITD1l5sTV,https://api.spotify.com/v1/tracks/2VwO1y36OPhb2ITD1l5sTV,https://api.spotify.com/v1/audio-analysis/2VwO1y36OPhb2ITD1l5sTV,168816,4
0.684,0.332,5,-9.866,0,0.108,0.331,1.06e-06,0.307,0.315,129.989,audio_features,6M57mCHMsqcvoJtlySUJXe,spotify:track:6M57mCHMsqcvoJtlySUJXe,https://api.spotify.com/v1/tracks/6M57mCHMsqcvoJtlySUJXe,https://api.spotify.com/v1/audio-analysis/6M57mCHMsqcvoJtlySUJXe,240008,4
0.676,0.465,11,-12.193,0,0.0773,0.343,0.0,0.0711,0.362,127.911,audio_features,0r0K2zyk5vwNWvWcaRxHpE,spotify:track:0r0K2zyk5vwNWvWcaRxHpE,https://api.spotify.com/v1/tracks/0r0K2zyk5vwNWvWcaRxHpE,https://api.spotify.com/v1/audio-analysis/0r0K2zyk5vwNWvWcaRxHpE,202031,4
