danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Clusters
0.201,0.435,7,-7.149,1,0.033,0.818,0.00245,0.0985,0.349,156.477,245893,3,6
0.281,0.134,4,-21.526,1,0.0377,0.993,0.959,0.376,0.142,94.066,211748,4,0
0.394,0.14,6,-17.536,1,0.226,0.976,0.887,0.122,0.314,144.259,71192,5,0
0.207,0.0442,7,-33.647,1,0.0529,0.995,0.835,0.115,0.465,69.003,194560,4,0
0.365,0.229,5,-16.174,1,0.0397,0.973,0.888,0.216,0.279,131.935,467040,4,0
0.237,0.149,7,-18.269,1,0.0561,0.985,0.907,0.119,0.566,89.768,136580,3,6
0.172,0.0251,8,-29.725,0,0.046,0.916,0.298,0.195,0.0375,133.742,337038,3,6
0.445,0.167,10,-16.029,1,0.0359,0.975,0.846,0.0903,0.154,66.359,273000,3,6
0.47,0.0378,5,-27.934,1,0.0504,0.995,0.909,0.115,0.471,140.628,299885,3,0
0.284,0.0141,10,-34.108,1,0.0355,0.994,0.91,0.0846,0.215,77.38,258624,4,0
0.336,0.0532,5,-29.704,1,0.0372,0.992,0.926,0.0939,0.421,128.6,342640,4,0
0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,357747,1,6
0.46,0.068,11,-24.531,0,0.0614,0.971,0.948,0.0935,0.449,124.76,122293,4,0
0.218,0.0209,1,-29.078,1,0.0375,0.991,0.959,0.121,0.0376,55.543,294600,4,0
0.174,0.129,8,-19.89,1,0.0417,0.867,0.782,0.0784,0.059,129.781,501506,3,6
0.0685,0.0173,1,-26.846,0,0.0408,0.942,0.66,0.1,0.073,74.996,285840,1,6
0.483,0.157,2,-12.925,1,0.0326,0.928,0.79,0.401,0.351,98.546,216000,3,6
0.44,0.0393,10,-32.431,0,0.0539,0.994,0.958,0.11,0.296,140.178,90500,4,0
0.151,0.0576,6,-24.513,1,0.0436,0.939,0.77,0.0875,0.0371,99.002,298000,4,0
0.0897,0.16,4,-15.986,1,0.0357,0.832,0.834,0.14,0.0579,81.802,853827,4,0
0.518,0.147,3,-16.748,1,0.0853,0.979,0.91,0.1,0.126,137.733,334973,4,0
0.188,0.0317,11,-24.978,0,0.0456,0.975,0.723,0.353,0.0387,81.045,233067,4,0
0.0775,0.0215,5,-24.606,1,0.039,0.964,0.952,0.11,0.0359,80.486,305920,3,6
0.521,0.073,7,-20.616,0,0.0473,0.993,0.916,0.0923,0.0587,125.323,148000,3,6
